participant_id,unitdur,threshold_percentage
1,0.4,0.32160804020100503
3,0.4,0.20100502512562815
4,0.4,0.11055276381909548
5,0.4,0.3919597989949749
6,0.4,0.271356783919598
7,0.4,0.3919597989949749
9,0.4,0.3065326633165829
10,0.4,0.47738693467336685
11,0.4,0.25125628140703515
12,0.4,0.4271356783919598
13,0.4,0.2814070351758794
14,0.4,0.4824120603015075
15,0.4,0.15577889447236182
17,0.4,0.36683417085427134
18,0.4,0.1306532663316583
20,0.4,0.2964824120603015
21,0.4,0.03015075376884422
24,0.4,0.4472361809045226
25,0.4,0.3768844221105528
27,0.4,0.15577889447236182
28,0.4,0.38190954773869346
29,0.4,0.2814070351758794
30,0.4,0.2613065326633166
31,0.4,0.4371859296482412
34,0.4,0.4371859296482412
35,0.4,0.2914572864321608
36,0.4,0.3417085427135678
1,0.7,0.5829145728643216
3,0.7,0.4170854271356784
4,0.7,0.19597989949748745
5,0.7,0.5175879396984925
6,0.7,0.4170854271356784
7,0.7,0.5477386934673367
9,0.7,0.45226130653266333
10,0.7,0.7035175879396985
11,0.7,0.34673366834170855
12,0.7,0.5879396984924623
13,0.7,0.47738693467336685
14,0.7,0.6582914572864321
15,0.7,0.35175879396984927
17,0.7,0.49246231155778897
18,0.7,0.4371859296482412
20,0.7,0.3768844221105528
21,0.7,0.1708542713567839
24,0.7,0.6482412060301508
25,0.7,0.45226130653266333
27,0.7,0.49748743718592964
28,0.7,0.507537688442211
29,0.7,0.49246231155778897
30,0.7,0.44221105527638194
31,0.7,0.542713567839196
34,0.7,0.6130653266331658
35,0.7,0.30150753768844224
36,0.7,0.47738693467336685
1,1.0,0.6582914572864321
3,1.0,0.47738693467336685
4,1.0,0.2814070351758794
5,1.0,0.7185929648241206
6,1.0,0.5628140703517588
7,1.0,0.6934673366834171
9,1.0,0.4020100502512563
10,1.0,0.8944723618090452
11,1.0,0.47738693467336685
12,1.0,0.7236180904522613
13,1.0,0.5376884422110553
14,1.0,0.6331658291457286
15,1.0,0.4723618090452261
17,1.0,0.6984924623115578
18,1.0,0.32160804020100503
20,1.0,0.4221105527638191
21,1.0,0.24120603015075376
24,1.0,0.9195979899497487
25,1.0,0.6633165829145728
27,1.0,0.47738693467336685
28,1.0,0.678391959798995
29,1.0,0.6381909547738693
30,1.0,0.5879396984924623
31,1.0,0.7035175879396985
34,1.0,0.8291457286432161
35,1.0,0.15075376884422112
36,1.0,0.7135678391959799
